               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12913,           0.0051875,            0.043542,          0.00079431,             0.13375,          0.00077436,          0.00021496,              0.1105,           0.0036641,            0.042246,              0.0829,              0.0019,              0.0019
                   1,             0.12004,           0.0059669,            0.034585,          0.00098764,             0.17574,           0.0010724,          0.00027553,             0.10534,           0.0042233,            0.036488,            0.064823,           0.0038228,           0.0038228
                   2,             0.11503,           0.0070853,            0.028035,           0.0015335,             0.33001,           0.0022506,          0.00059998,            0.097779,           0.0051073,             0.03285,            0.046666,           0.0056664,           0.0056664
                   3,             0.10237,           0.0086767,            0.021282,           0.0020269,             0.39269,           0.0026065,          0.00057746,            0.098053,           0.0054072,            0.033664,            0.028431,           0.0074307,           0.0074307
                   4,            0.096066,            0.010184,            0.015867,            0.015897,             0.19214,            0.051584,           0.0098004,             0.10121,           0.0054238,            0.029646,            0.010116,           0.0091159,           0.0091159
                   5,             0.10323,            0.010456,            0.012989,             0.60914,             0.18029,             0.12967,            0.031088,            0.094934,           0.0054573,            0.029453,             0.00901,             0.00901,             0.00901
                   6,            0.091873,            0.010211,            0.011149,             0.39272,             0.27617,             0.12563,            0.031839,            0.086279,           0.0054538,            0.029253,             0.00901,             0.00901,             0.00901
                   7,             0.07727,           0.0091284,            0.010326,             0.39941,             0.34259,             0.17415,            0.064513,             0.08412,           0.0054507,            0.028914,            0.008812,            0.008812,            0.008812
                   8,            0.072987,           0.0085348,            0.010032,             0.74103,             0.36798,             0.26946,            0.085474,            0.079672,           0.0061954,            0.026815,            0.008614,            0.008614,            0.008614
                   9,            0.071185,           0.0085532,           0.0091363,             0.29445,             0.58192,             0.41088,             0.16156,            0.080934,           0.0051179,            0.026909,            0.008416,            0.008416,            0.008416
                  10,            0.062593,           0.0082316,           0.0085308,             0.25124,             0.57884,             0.26942,             0.10886,            0.078151,           0.0049112,             0.02707,            0.008218,            0.008218,            0.008218
                  11,             0.05888,           0.0078758,           0.0076331,             0.38021,             0.63096,             0.45391,              0.1446,            0.078257,           0.0046118,              0.0297,             0.00802,             0.00802,             0.00802
                  12,            0.054923,           0.0081735,           0.0080549,             0.37563,             0.62644,             0.39703,             0.17817,            0.074575,           0.0046961,            0.031785,            0.007822,            0.007822,            0.007822
                  13,            0.053628,           0.0081523,           0.0075213,             0.56573,             0.66966,             0.50995,             0.21173,            0.072957,             0.00476,            0.028138,            0.007624,            0.007624,            0.007624
                  14,            0.050213,           0.0083068,             0.00716,             0.45725,             0.68316,             0.42427,             0.17032,            0.076284,           0.0047485,            0.028077,            0.007426,            0.007426,            0.007426
                  15,            0.050101,           0.0078936,           0.0066228,             0.62287,             0.72921,             0.53041,             0.26804,            0.065551,           0.0048796,            0.028078,            0.007228,            0.007228,            0.007228
                  16,            0.049111,           0.0077738,           0.0061387,              0.4265,              0.7278,             0.42777,             0.17919,            0.075878,           0.0046695,            0.027322,             0.00703,             0.00703,             0.00703
                  17,            0.046015,           0.0076787,           0.0062315,             0.60867,              0.7382,             0.54353,             0.25032,            0.066165,           0.0047981,            0.026823,            0.006832,            0.006832,            0.006832
                  18,            0.042507,           0.0074497,            0.006019,             0.54023,             0.72272,             0.46609,             0.21373,            0.069005,           0.0045175,            0.026321,            0.006634,            0.006634,            0.006634
                  19,              0.0448,           0.0071491,            0.005197,             0.60032,             0.75625,             0.52957,              0.2667,            0.065881,           0.0044907,            0.026253,            0.006436,            0.006436,            0.006436
                  20,            0.041369,           0.0072066,           0.0054892,             0.64296,             0.74398,             0.55508,             0.28922,            0.066581,           0.0045512,            0.026124,            0.006238,            0.006238,            0.006238
                  21,            0.040297,           0.0068378,           0.0055208,             0.67058,             0.75265,              0.5769,             0.26281,            0.063644,           0.0045247,            0.026537,             0.00604,             0.00604,             0.00604
                  22,            0.039666,           0.0069113,           0.0053859,             0.66745,             0.75747,             0.57188,             0.32842,            0.060634,           0.0044821,            0.026699,            0.005842,            0.005842,            0.005842
                  23,            0.040611,           0.0069399,           0.0054338,             0.65916,             0.76317,             0.57745,             0.36571,            0.058508,           0.0045855,            0.027072,            0.005644,            0.005644,            0.005644
                  24,            0.037028,           0.0068518,           0.0050735,             0.61695,              0.7694,             0.58295,             0.29075,            0.060098,           0.0046209,            0.027837,            0.005446,            0.005446,            0.005446
                  25,            0.035483,           0.0065104,           0.0047984,             0.67771,             0.76736,             0.58502,             0.32174,            0.058972,           0.0044419,            0.028614,            0.005248,            0.005248,            0.005248
                  26,            0.037173,           0.0067094,           0.0046205,             0.65843,              0.7651,             0.56764,             0.31318,            0.059352,           0.0043835,            0.027206,             0.00505,             0.00505,             0.00505
                  27,            0.033215,           0.0063779,            0.005041,             0.67284,             0.76498,             0.57828,             0.29201,            0.062238,            0.004317,            0.027106,            0.004852,            0.004852,            0.004852
                  28,            0.032092,            0.006064,           0.0047847,             0.67454,             0.77521,             0.58473,             0.30587,            0.059304,           0.0043393,            0.027715,            0.004654,            0.004654,            0.004654
                  29,            0.032525,           0.0064052,            0.005085,              0.6731,             0.76425,             0.57711,             0.33671,            0.059338,           0.0042548,            0.028299,            0.004456,            0.004456,            0.004456
                  30,            0.033768,           0.0065113,           0.0047889,             0.67655,             0.77459,             0.58093,             0.34473,            0.058954,           0.0042439,            0.028186,            0.004258,            0.004258,            0.004258
                  31,            0.030052,           0.0058712,           0.0041783,             0.67722,              0.7746,             0.58017,             0.34968,            0.062491,           0.0040896,            0.029124,             0.00406,             0.00406,             0.00406
                  32,            0.034887,             0.00597,           0.0047944,             0.67505,             0.78046,             0.58461,             0.37082,            0.057171,           0.0041165,            0.029974,            0.003862,            0.003862,            0.003862
                  33,            0.031281,           0.0059663,           0.0044898,             0.67598,             0.78111,             0.58665,             0.38918,            0.059497,           0.0039895,            0.030048,            0.003664,            0.003664,            0.003664
                  34,            0.029236,           0.0060737,            0.003671,             0.67484,             0.78492,             0.58643,             0.40372,            0.058492,           0.0039906,            0.029969,            0.003466,            0.003466,            0.003466
                  35,            0.027789,           0.0056896,           0.0042268,             0.67348,             0.78704,             0.58602,             0.40436,            0.056253,           0.0040846,            0.029938,            0.003268,            0.003268,            0.003268
                  36,            0.028213,           0.0056915,           0.0038258,             0.67309,             0.78125,             0.58555,             0.36811,            0.056726,           0.0041679,            0.029579,             0.00307,             0.00307,             0.00307
                  37,            0.028439,           0.0051205,           0.0037386,             0.67701,             0.78105,             0.58839,             0.38023,            0.055888,           0.0042009,            0.029866,            0.002872,            0.002872,            0.002872
                  38,            0.028578,           0.0055556,           0.0041724,             0.67596,             0.78242,             0.58849,             0.41063,            0.054863,           0.0041427,            0.030324,            0.002674,            0.002674,            0.002674
                  39,            0.026218,           0.0055839,           0.0037158,             0.67234,             0.78364,             0.58294,             0.37927,            0.057361,           0.0040705,            0.030672,            0.002476,            0.002476,            0.002476
                  40,            0.026054,           0.0053969,           0.0036862,             0.67793,             0.78492,             0.58588,             0.39655,            0.056566,           0.0040431,            0.030685,            0.002278,            0.002278,            0.002278
                  41,            0.025906,           0.0052242,            0.004093,             0.67715,             0.78548,             0.58631,             0.40836,            0.056329,           0.0039902,            0.030871,             0.00208,             0.00208,             0.00208
                  42,            0.026129,            0.005492,           0.0041041,              0.6779,             0.78522,              0.5876,             0.43636,            0.055432,           0.0039642,            0.030984,            0.001882,            0.001882,            0.001882
                  43,            0.026345,           0.0057203,           0.0041505,             0.67759,             0.78501,             0.58619,             0.42125,            0.054867,           0.0040146,            0.030785,            0.001684,            0.001684,            0.001684
                  44,            0.023823,           0.0056392,           0.0040231,             0.67723,             0.78491,             0.58534,             0.41977,            0.054958,           0.0039864,             0.03114,            0.001486,            0.001486,            0.001486
                  45,            0.023502,           0.0049269,           0.0034974,             0.67712,             0.78479,             0.58404,             0.43407,            0.055703,           0.0039671,            0.031279,            0.001288,            0.001288,            0.001288
                  46,            0.022945,           0.0052301,            0.003916,             0.67598,             0.78716,             0.58537,             0.43428,            0.054361,           0.0040042,            0.030822,             0.00109,             0.00109,             0.00109
                  47,            0.023198,           0.0051486,           0.0039809,             0.67169,             0.79387,             0.58518,             0.41905,            0.055151,           0.0039406,            0.031123,            0.000892,            0.000892,            0.000892
                  48,            0.020897,           0.0050827,           0.0033577,             0.67171,             0.79258,             0.58537,             0.42693,            0.055643,           0.0039116,            0.031093,            0.000694,            0.000694,            0.000694
                  49,            0.020834,            0.005142,           0.0038795,              0.6709,             0.79261,             0.58651,             0.43478,             0.05528,           0.0039189,            0.031297,            0.000496,            0.000496,            0.000496
