               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12431,            0.011158,            0.043201,            0.020959,            0.042067,            0.012563,           0.0026468,             0.11928,           0.0082616,            0.040488,              0.0838,              0.0018,              0.0018
                   1,             0.10848,            0.016171,            0.031206,              0.5096,            0.040865,           0.0060857,             0.00124,             0.11002,           0.0099326,            0.033934,            0.066627,           0.0036267,           0.0036267
                   2,            0.095164,            0.018316,            0.023533,             0.78805,            0.075721,            0.026945,           0.0062067,             0.10501,            0.010059,            0.029304,            0.049378,           0.0053782,           0.0053782
                   3,             0.08788,             0.01876,            0.017696,             0.88141,             0.13822,             0.12573,            0.039455,            0.098431,           0.0097435,            0.026434,            0.032054,           0.0070545,           0.0070545
                   4,            0.084324,            0.016462,            0.014611,             0.90093,             0.19961,             0.16646,            0.050805,             0.10062,            0.012318,            0.023852,            0.014656,           0.0086555,           0.0086555
                   5,            0.077925,            0.014551,             0.01264,            0.097516,             0.22613,            0.091016,            0.022777,            0.091999,            0.014245,            0.022067,             0.00901,             0.00901,             0.00901
                   6,            0.071857,            0.013998,            0.011291,             0.44239,             0.34995,             0.19155,            0.049062,            0.087198,            0.015166,            0.022743,             0.00901,             0.00901,             0.00901
                   7,            0.067809,            0.014223,           0.0098214,             0.18132,              0.4152,             0.19344,            0.066486,            0.080378,            0.016372,            0.026093,            0.008812,            0.008812,            0.008812
                   8,            0.060192,            0.013834,           0.0087108,             0.13853,             0.42848,             0.14854,            0.049453,            0.079089,             0.01589,            0.025988,            0.008614,            0.008614,            0.008614
                   9,            0.059544,            0.013022,           0.0084838,             0.31216,             0.43031,              0.3138,             0.11147,            0.077748,            0.014514,            0.024972,            0.008416,            0.008416,            0.008416
                  10,            0.054716,            0.012147,           0.0072633,              0.4694,             0.45538,             0.21451,            0.071298,            0.077937,            0.013625,            0.024327,            0.008218,            0.008218,            0.008218
                  11,            0.052387,            0.012212,           0.0066169,             0.32731,             0.51016,             0.30828,              0.1084,            0.070886,            0.013203,             0.02364,             0.00802,             0.00802,             0.00802
                  12,            0.049586,            0.012471,           0.0073143,             0.27014,             0.48931,             0.28392,            0.075689,            0.070903,            0.012891,            0.024147,            0.007822,            0.007822,            0.007822
                  13,            0.047727,            0.011633,           0.0068321,             0.31353,               0.488,             0.31442,             0.15013,            0.062922,            0.012237,            0.026384,            0.007624,            0.007624,            0.007624
                  14,            0.045871,             0.01157,             0.00638,             0.24677,             0.52453,             0.28271,             0.10572,            0.063758,            0.011979,            0.025189,            0.007426,            0.007426,            0.007426
                  15,            0.043835,              0.0111,           0.0060316,             0.42938,             0.52849,             0.40491,             0.14442,            0.061916,            0.011451,            0.023555,            0.007228,            0.007228,            0.007228
                  16,            0.043654,            0.011282,           0.0062182,             0.46135,             0.53991,             0.40637,              0.2043,            0.058557,            0.010943,            0.022563,             0.00703,             0.00703,             0.00703
                  17,            0.041078,            0.010207,           0.0053443,             0.41043,             0.52323,             0.37566,             0.16791,            0.060657,            0.011398,            0.021921,            0.006832,            0.006832,            0.006832
                  18,            0.038758,            0.010396,           0.0057709,             0.42937,             0.54722,             0.39935,             0.22814,            0.058637,            0.010805,            0.022373,            0.006634,            0.006634,            0.006634
                  19,            0.037491,            0.010175,           0.0053294,             0.43372,             0.53301,             0.40281,              0.2125,            0.057713,            0.010668,            0.023085,            0.006436,            0.006436,            0.006436
                  20,            0.036388,            0.009861,              0.0054,             0.47145,             0.53603,             0.41488,             0.24927,            0.057868,            0.010536,            0.023947,            0.006238,            0.006238,            0.006238
                  21,            0.037955,            0.010098,            0.005372,             0.48818,             0.55727,             0.42516,             0.24784,            0.053797,            0.010352,            0.023321,             0.00604,             0.00604,             0.00604
                  22,            0.036517,           0.0096527,           0.0045337,             0.46925,             0.56197,             0.42503,              0.2606,            0.054038,            0.010351,            0.022962,            0.005842,            0.005842,            0.005842
                  23,            0.037525,           0.0095032,           0.0059308,             0.49385,              0.5657,             0.43522,             0.26602,            0.053694,            0.010008,            0.022708,            0.005644,            0.005644,            0.005644
                  24,            0.033766,           0.0091181,           0.0052321,              0.4942,              0.5683,             0.43616,             0.28055,            0.051686,            0.010018,            0.023013,            0.005446,            0.005446,            0.005446
                  25,            0.033582,           0.0091663,           0.0047928,             0.47934,             0.56701,             0.43118,             0.25075,            0.053262,            0.010431,            0.023445,            0.005248,            0.005248,            0.005248
                  26,             0.03126,           0.0092455,           0.0042979,             0.48457,             0.57092,             0.43785,             0.28946,            0.053322,            0.010776,            0.024143,             0.00505,             0.00505,             0.00505
                  27,            0.031459,           0.0089884,           0.0053313,             0.45134,             0.57892,             0.41839,             0.25567,             0.05124,            0.010717,            0.024271,            0.004852,            0.004852,            0.004852
                  28,            0.030304,           0.0097708,           0.0044811,             0.47985,             0.57732,              0.4299,             0.30897,            0.053563,            0.010781,            0.024153,            0.004654,            0.004654,            0.004654
                  29,            0.029116,           0.0091068,           0.0045406,             0.74185,             0.57628,             0.43505,             0.27929,            0.050453,            0.010885,            0.023953,            0.004456,            0.004456,            0.004456
                  30,            0.029468,           0.0084068,           0.0044297,             0.73585,             0.57336,             0.43546,             0.29882,            0.054452,             0.01092,             0.02397,            0.004258,            0.004258,            0.004258
                  31,            0.028363,            0.008577,           0.0047533,             0.48672,             0.57981,             0.43634,             0.27848,            0.051653,            0.010823,            0.023925,             0.00406,             0.00406,             0.00406
                  32,             0.02747,           0.0085141,           0.0042697,             0.49563,             0.58327,             0.43563,             0.26504,            0.050296,             0.01094,            0.024078,            0.003862,            0.003862,            0.003862
                  33,            0.027309,           0.0086385,           0.0039753,             0.49418,             0.57859,             0.43592,             0.29994,            0.049864,            0.010651,            0.024187,            0.003664,            0.003664,            0.003664
                  34,            0.025802,           0.0085193,           0.0048189,             0.48994,             0.57601,             0.43465,             0.30528,            0.048811,            0.010509,            0.023956,            0.003466,            0.003466,            0.003466
                  35,            0.024754,           0.0083608,           0.0040834,             0.74418,             0.57343,              0.4362,             0.31744,            0.050994,            0.010428,            0.023943,            0.003268,            0.003268,            0.003268
                  36,            0.024493,           0.0082783,           0.0040167,             0.74639,             0.56508,             0.43535,             0.29493,            0.052309,            0.010318,            0.024126,             0.00307,             0.00307,             0.00307
                  37,             0.02398,           0.0079024,           0.0042283,             0.74296,             0.56062,             0.43263,             0.30626,            0.048712,            0.010602,            0.024487,            0.002872,            0.002872,            0.002872
                  38,            0.024706,           0.0078213,           0.0038438,             0.74849,             0.55546,             0.43156,             0.31457,            0.048615,             0.01051,            0.024495,            0.002674,            0.002674,            0.002674
                  39,            0.021816,           0.0077053,           0.0037909,             0.49474,             0.56253,              0.4337,             0.31636,            0.047351,            0.010704,            0.024607,            0.002476,            0.002476,            0.002476
                  40,              0.0218,           0.0080267,           0.0035876,             0.49692,             0.56187,             0.43137,             0.31023,            0.048014,            0.010648,            0.024594,            0.002278,            0.002278,            0.002278
                  41,            0.020973,           0.0076732,           0.0032159,             0.49762,             0.56441,             0.43559,             0.32218,              0.0477,            0.010796,            0.025001,             0.00208,             0.00208,             0.00208
                  42,            0.021762,           0.0079992,            0.003502,             0.74347,             0.55834,             0.43335,             0.32646,            0.047971,            0.010813,            0.025037,            0.001882,            0.001882,            0.001882
                  43,            0.020833,           0.0076379,           0.0041937,              0.7471,             0.55804,             0.43495,             0.32689,            0.047067,             0.01061,            0.025017,            0.001684,            0.001684,            0.001684
                  44,            0.018767,           0.0075393,           0.0030055,             0.74718,             0.55758,             0.43366,              0.3282,            0.046759,            0.010656,            0.025055,            0.001486,            0.001486,            0.001486
                  45,            0.019215,           0.0077978,           0.0034738,             0.75161,             0.55697,             0.43321,             0.32707,            0.047097,            0.010697,            0.025006,            0.001288,            0.001288,            0.001288
                  46,            0.018737,            0.007547,           0.0034333,             0.74726,             0.55755,             0.43343,             0.33336,            0.046633,            0.010701,             0.02484,             0.00109,             0.00109,             0.00109
                  47,            0.017856,           0.0073228,           0.0032095,             0.74803,             0.55926,             0.43427,             0.32983,            0.046889,             0.01078,             0.02477,            0.000892,            0.000892,            0.000892
                  48,            0.018053,           0.0075179,           0.0036396,             0.74875,             0.56038,             0.43519,              0.3347,             0.04653,            0.010795,            0.024895,            0.000694,            0.000694,            0.000694
                  49,            0.017806,           0.0073171,           0.0033085,             0.75028,              0.5639,             0.43648,             0.33797,            0.045986,            0.010868,            0.025043,            0.000496,            0.000496,            0.000496
