               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096609,            0.002662,            0.036381,          9.4907e-05,            0.046154,          6.3363e-05,          1.8315e-05,            0.094229,           0.0015457,            0.037688,              0.0829,              0.0019,              0.0019
                   1,             0.09481,           0.0027464,            0.035239,          5.9961e-05,            0.030769,          3.6861e-05,          1.2741e-05,            0.090467,           0.0017947,            0.034153,            0.064823,           0.0038228,           0.0038228
                   2,            0.095533,            0.003621,            0.033241,           9.434e-05,            0.037607,          5.4163e-05,          1.0833e-05,            0.087524,           0.0019143,            0.030401,            0.046666,           0.0056664,           0.0056664
                   3,            0.088215,           0.0038792,            0.026731,          0.00017449,            0.083761,          0.00016369,          3.2037e-05,            0.084661,           0.0020992,             0.02603,            0.028431,           0.0074307,           0.0074307
                   4,            0.089847,           0.0037368,            0.024623,          0.00011493,            0.052991,           9.878e-05,           2.674e-05,            0.083016,           0.0021547,            0.022228,            0.010116,           0.0091159,           0.0091159
                   5,            0.082456,           0.0034755,            0.020526,          0.00015745,            0.083761,          0.00012035,          2.8814e-05,            0.080724,           0.0023374,            0.018255,             0.00901,             0.00901,             0.00901
                   6,            0.073325,           0.0037148,            0.016612,          0.00025992,             0.13658,          0.00021099,          5.0453e-05,            0.080574,           0.0024283,             0.01687,             0.00901,             0.00901,             0.00901
                   7,            0.077564,           0.0047958,            0.014515,          0.00046777,             0.26239,          0.00098963,          0.00022098,            0.080855,           0.0024525,            0.013441,            0.008812,            0.008812,            0.008812
                   8,            0.082154,           0.0046469,            0.013257,           0.0004526,             0.26667,          0.00073555,          0.00016112,            0.080655,           0.0025199,              0.0126,            0.008614,            0.008614,            0.008614
                   9,            0.086838,           0.0051777,            0.012971,             0.20344,            0.030769,           0.0089655,          0.00096537,            0.079239,           0.0026364,            0.011808,            0.008416,            0.008416,            0.008416
                  10,            0.077382,           0.0048308,            0.011408,           0.0004444,             0.27778,           0.0011331,          0.00029176,            0.076215,           0.0028103,            0.011086,            0.008218,            0.008218,            0.008218
                  11,             0.07571,           0.0055839,           0.0097157,             0.61341,            0.046154,             0.02191,           0.0051703,            0.066531,           0.0031552,           0.0099295,             0.00802,             0.00802,             0.00802
                  12,            0.078623,           0.0048095,            0.009706,             0.86905,            0.046154,            0.045027,           0.0091216,             0.06887,           0.0029276,           0.0095442,            0.007822,            0.007822,            0.007822
                  13,            0.081643,           0.0043531,           0.0088441,             0.87535,             0.12308,            0.064278,            0.015188,            0.066737,           0.0029102,           0.0095642,            0.007624,            0.007624,            0.007624
                  14,            0.077584,           0.0051642,             0.00797,             0.80648,            0.030769,           0.0053963,           0.0017335,            0.066799,            0.002797,           0.0096829,            0.007426,            0.007426,            0.007426
                  15,            0.066817,           0.0043075,            0.009431,          0.00072782,             0.35051,           0.0031081,          0.00092524,            0.070526,           0.0027161,           0.0091208,            0.007228,            0.007228,            0.007228
                  16,            0.076306,           0.0052617,           0.0085556,             0.71597,             0.16068,            0.069103,            0.017513,            0.061915,           0.0029851,           0.0090273,             0.00703,             0.00703,             0.00703
                  17,            0.076622,            0.005178,           0.0093869,             0.22745,             0.21624,             0.11619,             0.02969,            0.058324,           0.0031577,           0.0090572,            0.006832,            0.006832,            0.006832
                  18,            0.070447,           0.0046742,           0.0095985,             0.71445,             0.27778,             0.25294,            0.054888,            0.055496,           0.0031972,           0.0083813,            0.006634,            0.006634,            0.006634
                  19,             0.05404,           0.0053825,           0.0087416,             0.90409,                 0.2,             0.27283,            0.099361,            0.054065,           0.0032368,           0.0079744,            0.006436,            0.006436,            0.006436
                  20,            0.058924,           0.0059339,           0.0070026,             0.92183,             0.16923,             0.26752,             0.11526,            0.050918,            0.003435,           0.0073386,            0.006238,            0.006238,            0.006238
                  21,             0.05672,           0.0061981,           0.0085381,             0.91372,             0.15385,             0.26496,             0.10601,            0.046933,           0.0034925,           0.0072277,             0.00604,             0.00604,             0.00604
                  22,            0.055049,            0.005975,           0.0072575,             0.91825,             0.18462,             0.28201,             0.13716,            0.048308,            0.003389,           0.0069674,            0.005842,            0.005842,            0.005842
                  23,            0.054431,           0.0067144,           0.0079063,             0.95282,             0.19936,             0.34052,             0.16084,            0.044277,           0.0035901,           0.0066537,            0.005644,            0.005644,            0.005644
